airbnb_listing_id,adr_vendidas,adr_ofertadas,ocupacao,pickup_13d,adr_fallback,adr,revpan,receita_77n
1977915,1000.0,850.0,0.5064935064935066,0.2830188679245283,False,1000.0,506.4935064935066,39000.00000000001
8287843,800.0,700.0,0.3116883116883117,0.18032786885245902,False,800.0,249.35064935064935,19200.0
11567423,1020.0,920.0,0.37662337662337664,0.09433962264150944,False,1020.0,384.1558441558442,29580.000000000004
12067632,580.0,720.0,0.8181818181818181,0.6666666666666666,False,580.0,474.5454545454545,36540.0
12359560,550.0,550.0,0.8571428571428572,0.7027027027027027,False,550.0,471.42857142857144,36300.0
15500038,625.0,607.0,0.4155844155844156,0.34782608695652173,False,625.0,259.7402597402598,20000.000000000004
15523493,850.0,850.0,0.48051948051948057,0.1836734693877551,False,850.0,408.44155844155847,31450.000000000004
15732070,790.0,790.0,0.5194805194805194,0.4126984126984127,False,790.0,410.38961038961037,31600.0
15909831,790.0,790.0,0.33766233766233766,0.203125,False,790.0,266.75324675324674,20540.0
15934309,830.0,790.0,0.38961038961038963,0.16071428571428573,False,830.0,323.3766233766234,24900.0
16177778,1000.0,860.8,0.012987012987012991,0.012987012987012988,False,1000.0,12.987012987012992,1000.0000000000005
16586622,820.0,790.0,0.5194805194805194,0.4393939393939394,False,820.0,425.97402597402595,32800.0
16618715,790.0,790.0,0.3116883116883117,0.2318840579710145,False,790.0,246.23376623376623,18960.0
16992951,990.0,500.0,0.37662337662337664,0.15789473684210525,False,990.0,372.8571428571429,28710.000000000004
17294276,850.0,850.0,0.961038961038961,0.925,False,850.0,816.8831168831168,62899.99999999999
17570590,1642.5,1428.0,0.4025974025974026,0.11538461538461539,False,1642.5,661.2662337662338,50917.5
18395333,800.0,510.0,0.37662337662337664,0.09433962264150944,False,800.0,301.2987012987013,23200.0
20943549,600.0,400.0,0.4415584415584416,0.1568627450980392,False,600.0,264.93506493506493,20400.0
21091876,900.0,700.0,0.18181818181818177,0.03076923076923077,False,900.0,163.6363636363636,12599.999999999996
21103486,405.0,350.0,0.49350649350649356,0.38095238095238093,False,405.0,199.8701298701299,15390.000000000002
21280090,807.5,850.0,0.4415584415584416,0.0851063829787234,False,807.5,356.5584415584416,27455.000000000004
21324331,667.0,688.0,0.6753246753246753,0.2647058823529412,False,667.0,450.44155844155847,34684.0
21545686,380.0,380.0,0.36363636363636365,0.15517241379310345,False,380.0,138.1818181818182,10640.0
21632405,704.0,408.0,0.48051948051948057,0.08571428571428572,False,704.0,338.28571428571433,26048.000000000004
21662762,165.0,300.0,0.6753246753246753,0.13793103448275862,False,165.0,111.42857142857143,8580.0
21695053,850.0,720.0,0.19480519480519476,0.08823529411764706,False,850.0,165.58441558441555,12749.999999999998
21734892,850.0,813.8,0.4155844155844156,0.16666666666666666,False,850.0,353.24675324675326,27200.0
22191680,500.0,500.0,0.24675324675324672,0.15942028985507245,False,500.0,123.37662337662336,9499.999999999998
22243318,580.0,580.0,0.7402597402597403,0.47368421052631576,False,580.0,429.35064935064935,33060.0
22245880,1616.0,1232.0,0.2857142857142857,0.06,False,1616.0,461.71428571428567,35551.99999999999
22421421,347.0,347.0,0.5844155844155844,0.1111111111111111,False,347.0,202.7922077922078,15615.0
22421606,884.0,361.0,0.5454545454545454,0.125,False,884.0,482.18181818181813,37127.99999999999
22739656,1413.0,1280.0,0.3246753246753247,0.14035087719298245,False,1413.0,458.76623376623377,35325.0
22901902,790.0,700.0,0.1298701298701299,0.12987012987012986,False,790.0,102.59740259740263,7900.000000000003
23343001,700.0,600.0,0.10389610389610393,0.028169014084507043,False,700.0,72.72727272727275,5600.000000000002
26197944,550.0,450.0,0.4285714285714286,0.3090909090909091,False,550.0,235.71428571428572,18150.0
26334990,1200.0,1200.0,0.5584415584415585,0.3584905660377358,False,1200.0,670.1298701298703,51600.00000000001
26570136,800.0,800.0,0.36363636363636365,0.2727272727272727,False,800.0,290.90909090909093,22400.000000000004
26708551,441.0,478.0,0.37662337662337664,0.16666666666666666,False,441.0,166.0909090909091,12789.0
26839303,800.0,813.6,0.5454545454545454,0.14634146341463414,False,800.0,436.3636363636363,33600.0
26895628,1350.0,1100.0,0.6623376623376623,0.13333333333333333,False,1350.0,894.1558441558442,68850.0
